customer_tweet_id,customer_text,customer_author_id,brand_tweet_id,brand_text,heuristic_intent,golden_intent,golden_action,human_intent,human_action,reviewed
1602564,"@115850 
Package not delivered. But you have mail &amp; SMS saying it is delivered.
This is unacceptable, https://t.co/RRRiveinn5",491842,1602563,"@491842 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^VH",Shipping,Shipping,escalate,,,True
2317671,"@232600 When your 1st delivery from @AmazonHelp is late then gets lost, then the 2nd delivery also fails to turn up on time - oh &amp; u pay for Prime",280562,2317668,"@280562 Hi Dee, sorry to hear that. Please contact us here: https://t.co/JzP7hlA23B to report these delivery issues. ^JJ",Shipping,Shipping,escalate,,,True
2461273,i almost lost a package i ordered from amazon and they fixed it so quickly (': bless them,704709,2461272,@704709 Happy to hear that! 😊 🙂 ^MA,Shipping,Shipping,auto-handle,,,True
2832823,"3 fois que je commande chez @120533, 3 fois qu'on m'appelle car on ne trouve pas la BAL... aucun soucis avec tous les autres livreurs... un signe que je ne devrais plus commandez chez eux ... 😂😂",788654,2832821,"@788654 Bonjour Sophie, navrée pour cela. Rencontrez-vous ce souci avec un transporteur en particulier ? ^MA",Product/Device,Shipping,auto-handle,,,True
91447,@AmazonHelp Wrong item delivered yet charged for it,135822,91450,"@135822 Oh no! I'm sorry for the troubles with this delivery! We want you to have a pleasant experience with us, so let's take a look to see what options we have for you!  Can you tell me which Amazon site you order from? ^FR",Product/Device,Refund/Return,auto-handle,Product/Device,escalate,True
1004430,@138673 @115850 What's the point of paying for #amazonprime subscription when fully paid for items conveniently go missing?,357736,1004429,"@357736 I understand your concern, please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^MN",Account/Billing,Shipping,escalate,,,True
2786357,"@115821 wow this is really shitty. This is your delivery service I believe. This why packages go missing, in Brooklyn. https://t.co/OwAM0ESH4b",777921,2786356,@777921 Thank you for bringing this to our attention! We would like to look into this further. Please provide as many details about what you saw today here: https://t.co/Ay5AE66Bqw ^AR,Shipping,Shipping,escalate,,,True
2604861,"@AmazonHelp I'm not asking for a price match. I'm asking for a refund, as it was promised to me by an Amazon representative.",736487,2604862,@736487 I understand your concern. We'd like to look into this issue. Please drop your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^BV,Refund/Return,Refund/Return,escalate,,,True
527715,@115830 my account says an item has been dispatched though I have not recieved an email confirming it.,242157,527714,"@242157 Hi Jodie, have you checked your junk or spam folders to see if the email was sent there?^PJ",Account/Billing,Shipping,auto-handle,Account/Billing,,True
2499212,"@AmazonHelp 2 day shipping with guaranteed delivery date is literally the only reason I pay for Prime, and your new shipping company rarely delivers on time. What are options for partial reimbursement if I have a string of late orders?",713081,2499210,"@713081 I'm sorry for the frustration! Are you seeing a trend with a specific carrier? If so, can you please tell us which carrier you're referring to? ^AC",Shipping,Shipping,escalate,,,True
1574987,@AmazonHelp I need a remote for my firestick plz help,485348,1574986,"@485348 We sell replacement remotes on our website. Alternatively, you can get our Fire TV Remote App: https://t.co/RGeRfYHwXP ^MG",Product/Device,Product/Device,auto-handle,,,True
2573730,"@115821 it would be really great if the Beyblades we ordered didn't arrive in it's original packaging, stick it in an Amazon box so my kid's Christmas surprise isn't ruined when we get home from school and it's sitting there on the stoop.",729881,2573729,"@729881 Oh no! I'm so terribly sorry this happened, Kristin! Typically if it's not shipped in an Amazon box, this means furstration-free packaging was chosen from the product detail page, you can read about that here: https://t.co/vgxuiEsEDB ^VF",Shipping,Shipping,auto-handle,,,True
1564991,"@AmazonHelp Fortunately the product is in working order, I was not informed of the delivery so I had no idea about it being left outside.",483175,1564990,@483175 We typically send an e-mail when packages are delivered. Please check your spam/junk folders as they can be there. ^KJ,Shipping,Shipping,auto-handle,,,True
2382530,@115850 i want tp cancel an otder which is not shipped yet but its not cancelling.. Help me.,686845,2382529,@686845 I understand your concern regarding the cancellation. Kindly reach out to our support team here:https://t.co/vlvfJr4nN9 &amp; we'll guide you through the process. ^EM,Refund/Return,Shipping,auto-handle,Refund/Return,,True
1744116,@AmazonHelp ca ne repond pas a la question votre lien. Toujours impossible de joindre qq1 c'est quoi ce bordel ?,526004,1744118,"@526004 Dans ce cas-là, je vous invite  à joindre notre service client via le lien suivant:  https://t.co/hgIrz98cdI
Cela nous permettra de vous apporter toute l'assistance requise et de remédier à cette situation dans les meilleurs délais.
Merci de votre patience.
^SA",General Support,General Support,escalate,,,True
1209099,@AmazonHelp I-parcel but they direct me to fast way courriers. Ordered off Amazon UK. I was told last week it would arrive in 24 hours.,403854,1209101,@403854 I would advise reaching out to us here so we can look into this for you James  https://t.co/JzP7hlA23B ^KM,Shipping,Shipping,auto-handle,,,True
179281,"@AmazonHelp Can you please confirm if I still have an Amazon account, or if this a phishing email, or something totally unrelated as it refers to payments?",158252,179280,"@158252 Please don't click any links in that email, I'd advise you to wait until you get an email from the Social Media team. ^JJ",Account/Billing,Account/Billing,escalate,,,True
573492,"#protip for all @115850 shoppers. If you shop regularly on Amazon Pantry and receive refund in bits and pieces, please please make sure you track and double check that you have received a full refund.",199843,573491,"@199843 I'm sorry about the trouble you've had to go through with the refund of your order. We'd like to have this checked, kindly drop in your details here:https://t.co/beaaDm0muc and we'll reach out to you. ^EM",Refund/Return,Refund/Return,auto-handle,,escalate,True
775041,@119625 next Telugu releases,305175,775040,@305175 We are always adding new content to the Amazon Prime Video library. Keep an eye out for the Latest (1/2) ^GK,General Support,Product/Device,auto-handle,,,True
2590705,@120533 Intéressants vos emballages... https://t.co/kMqmBDEt52,733790,2590704,"@733790 Navrée pour cela, je vous prie de nous laisser un commentaire sur l'emballage via ce lien: https://t.co/6m981cpbIF. ^MA",General Support,General Support,auto-handle,,,True
551989,@AmazonHelp browser works fine but it’s a bit of a pain to add to basket in the app then checkout via browser. I’ve had the buy it now error for a while so the phone on/off thing didn’t fix,133008,551991,"@133008 OK Rachel, I would advise to log out from your account from all and any device you are logged on (app included) then delete the app from your phone and re-install. ^BD",Product/Device,Account/Billing,escalate,,,True
473175,@AmazonHelp All 3 orders placed yesterday had/have Monday. Last weeks orders all had a 2-3 day delivery time as well. Always been next day beforehand!!,227678,473177,"@227678 During the busy season, some orders may take longer than expected to process. Please see more details on this here: https://t.co/peUt3UMDu8. I apologize for any inconvenience this has caused. ^CS",Shipping,Shipping,auto-handle,,,True
1669445,@116618 Any chance we'll be able to put downloaded titles onto an SD card for android devices? I know @116602 allows it.,508312,1669443,"@508312 Wi-Fi connection. Prime titles available for download feature a ""Download"" button in the video details. 2/2 ^TP",Product/Device,Product/Device,auto-handle,,,True
268718,@116618 the app roku doesn’t seem to have it. Is there a secret search word?,180067,268717,@180067 This is compatible with Roku model 3 and up. Are you attempting to stream on an older Roku version? ^CL,Product/Device,Product/Device,auto-handle,,,True
2888316,"@AmazonHelp Não, pessoal. Recebi apenas o e-mail com o cancelamento do pedido. Disseram que era algo relativo ao banco, mas nunca tive problemas em fazer outras contas pela internet. E sim, o cartão está certo.",265188,2888315,"@265188 Will, por favor, entre em contato com nossos companheiros de Suporte ao Cliente para que possam verificar o que aconteceu: https://t.co/qGpkDwGRhX. ^DA",Refund/Return,Account/Billing,escalate,,,True
2462196,"@115850 order BPL LED TV . seller send me fake tracking ID.  my all friends got same tracking ID who place BPL LED TV order , its prepaid order . here going a big fraud by your seller. please look in matter &amp; deliver our LED TV. alredy mail seller but no responce recived.",704889,2462194,"@704889 I understand your concern, Rahul. Kindly report it to our support team here: https://t.co/2t6DQoUmNZ we'll look into it and help you out. ^AP",Shipping,Shipping,escalate,,,True
2490612,@115821 service is simply out of this world. Such a phenomenal experience. They just agreed to refund a pair of headphones that I bought 1.5 years ago. There is absolutely 0% chance I'm buying anything online outside Amazon. @116928 @AmazonHelp,553498,2490611,@553498 Hello Avi! Thank you for your comment. We are glad that you are happy with our service. Best regards!😃🎊 ^AA,Refund/Return,Refund/Return,auto-handle,,,True
346246,The @116602 app on @116439 crashes after auto playing next episode. Consistent. Re-installing doesn’t help. Bug. Known issue?,198408,346245,@198408 I'm sorry Netflix is crashing on you. Let's make sure your Fire TV software is up to date: https://t.co/awWRnJnO72 ^AM,Product/Device,Product/Device,escalate,,,True
434605,"@AmazonHelp handle refund my money, SUCH A PATHETIC SERVICE AND ESCALATION HADLING TEAM IN @115850 @115821 @AmazonHelp",218249,434607,@218249 We have already responded to your concern here: https://t.co/0wJQCKFNZk. ^SF,Refund/Return,Refund/Return,escalate,,,True
1164596,@115821 my aunts account was hacked &amp; her gift card credits stolen. No satisfaction from customer service.,393949,1164595,"@393949 Sorry to hear this happened to your aunt, Paige. What options where provided she contacted us? Happy to help further. ^BT",Account/Billing,Account/Billing,escalate,,,True
748739,@AmazonHelp Please cancel this order,298989,748740,"@298989 I get your disappointment, Shailesh. Request you to wait as our team is working on the issue. ^NK",Refund/Return,Refund/Return,auto-handle,,,True
179565,"@128308 Dear Amazon, when is your next discount on Fire TV stick?",413143,1249446,@413143 We haven't announced any updates regarding this. Please stay tuned. ^SH,Product/Device,Product/Device,auto-handle,,,True
1020065,"@115830 I am a Prime subscriber so I pay for next day, why is the 28th the earliest date? I feel cheated, you are a most deceitful company #payyourtaxes",361369,1020063,@361369 Some deliveries may take longer than usual during this time of year: https://t.co/1ZiavmDn9X I'm sorry for any inconvenience this may cause. ^RA,Account/Billing,Shipping,escalate,,,True
737134,"@AmazonHelp @115830 This is not required when amazon could just invoice the correct amount, or provide a credit on the account in form of voucher.",296311,737135,@296311 Please contact us once more by phone or chat here: https://t.co/JzP7hlA23B to discuss this. ^JJ,Account/Billing,Account/Billing,auto-handle,,,True
2599085,"@AmazonHelp The password ain't the problem, you guys locked me out of my account. (And cancelled my order, the day it was supposed to arrive, and I needed it that day). Even if you let me down with my order, the least you could have done is stopped charging me for prime...",735817,2599087,@735817 Did you receive any email notification from our Account Specialists regarding the account be locked? ^BZ,Shipping,Account/Billing,escalate,,,True
2278666,@115821 Guys! who do I talk to about being billed twice for the same item?  Thanks,662542,2278664,@662542 Oh no! I'm sorry about the unexpected charge! Have you checked out this page: https://t.co/btIPenP2DF on unexpected charges? Please let us know if that helps! ^LB,General Support,Account/Billing,auto-handle,,,True
915423,Wieso kann ich über meine @115821 Music App keine Musik mehr kaufen? Bekomme nur noch Unlimited als Option angeboten 😑,337357,915421,"@337357 Wenn du über den Shop (Einkaufswagen) gehst und dort den Inhalt suchst, funktioniert es. Lieben Gruß ^NW",Product/Device,Account/Billing,auto-handle,,,True
24986,@AmazonHelp order 406-5346056-8286767 I want a refund for the product. https://t.co/CKTsoBPMgb,121404,24984,@121404 Sincere apologies for the mess. Please fill this form: https://t.co/beaaDm0muc so we could get this sorted soon. 1/2 ^RS,Refund/Return,Refund/Return,auto-handle,,,True
2731117,@115850 false info.. This parcel is not yet been delivered. Kindly trace and revert. https://t.co/UzkNnQJ52D,765644,2731114,"@765644 I'm sorry about the miss in delivery. Kindly connect with us here: https://t.co/vlvfJr4nN9 we'd like to help. Also, please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG",General Support,Shipping,auto-handle,,,True
2564015,@AmazonHelp What time do your pantry orders get delivered up to? I’m due a delivery but nothing’s arrived (yet!),727542,2564014,"@727542 Hi Jennifer. Orders can be delivered until 8m. If you don't receive it within this time frame, please let us know so we can investigate further. ^HC",Shipping,Shipping,auto-handle,,,True
1068426,@115821 your apps are ticking me off. They won’t let me sign in.,372139,1068424,"@372139 Oh no! Are you receiving an error code, when trying to login? ^AG",Product/Device,Account/Billing,auto-handle,,,True
2933536,@AmazonHelp No I didn’t as I don’t have a porch and I didnt want to risk it being left in a bin,136487,2933535,@136487 We would like to check into this for you but can't view your details on Twitter. Can you contact us directly using the following link: https://t.co/JzP7hlA23B.^BZ,General Support,Shipping,auto-handle,,,True
1589546,"@115850 Order 408-6046562-5134714 
Order 408-9691629-2196333
amazon not refund provide me . and not talking me i am pay 2 time payment",488767,1589545,@488767 personal information. Our page is visible to the public. (2/2) ^SF,Refund/Return,Refund/Return,escalate,,,True
2036732,What's up with @115821 #AmazonPrime now? The guaranteed delivery date means nothing anymore 😒.,602174,2036730,@602174 Have we missed the scheduled delivery date with a recent order of yours? What's the current status: https://t.co/Y5jpI9gRhE? ^WM,Shipping,Shipping,auto-handle,,,True
544474,"dear @115821,

how does 2-day shipping turn into delivery in 7 days? I’m confused",246505,544472,"@246505 Hi there, Alisa Beth! We aim to meet the delivery date provided in your confirmation e-mail. Have we missed this date? ^AB",Shipping,Shipping,auto-handle,,,True
1704766,@AmazonHelp Sold and shipped by Amazon( prime account). Took 3 whole days but your customer service finally fixed it. Ridiculous waste of my time.,271700,1704768,@271700 Glad to hear that the issue is resolved. Did you receive any follow up emails? ^MC,Account/Billing,Shipping,escalate,,,True
2825684,Hey @115850 can you please ship my dispatched orders which are about to arrive on 1st dec and 5th dec by 30th Nov. Cause i'm going outstation for 1 month and i'll need those items there. Please its a request ..please,787156,2825682,"@787156 I understand your necessity, Vinay. However, the delivery estimate is calculated based on multiple criteria and the deliveries are mapped depending on the estimates provided. Hence, I'm afraid we won't be able to expedite the shipping process. ^RI",Shipping,Shipping,escalate,,,True
1250992,@115850 can you provide 10% cash back on sbi card for iphone se,413499,1250990,"@413499 Currently, we don't have a cashback promotion with SBI card on our website. ^SH",General Support,Account/Billing,escalate,,,True
798787,"@115821 Please tell me, how would you make me trust on Amazon. All the time false promises. Really frustrated. Please help. Where is my pro. https://t.co/FymR8vVDa9",309914,798785,@309914 Sorry about the hassle. That is not intended. I'd like to have a closer look on your concern here: https://t.co/GIJyeYqKE0. ^BS,General Support,General Support,escalate,,,True
1354472,@115825 Wer ist für die Amazon Video App auf einem @63651 TV zuständig? Da bekomme ich im Eurosport Channel das Live Spiel nicht angeboten.,435862,1354470,@435862 Live streaming ist leider nur auf diesen Geräten verfügbar: https://t.co/mFbeMQSvmi Dein feedback geb ich gerne weiter. ^AV,Product/Device,Product/Device,auto-handle,,,True
1508657,.@116935 your app sucks! ..no option but to download app to get to music I buy + to download I have to sign up to your paid service??,398094,1508655,@398094 You can learn how to access and download purchased music through the app here: https://t.co/5JqNFb8qwM We hope this help!^ZW,Product/Device,Account/Billing,escalate,,,True
2463850,@122232 @115821 Since when did a male Stephen become a female Steph. Insult after insult. To follow the debacle my ref is 2616315530 - appalling,705212,2463849,"@705212 I am sorry to hear you haven't received your order Stephen. Have you been in touch with us and if so, what was advised? Thanks ^GA",Product/Device,General Support,escalate,,,True
180251,@AmazonHelp @115851 It was sowing delivered but not delivered to me when complain reply me wrongly update if not get by 8 we will refund https://t.co/nSWem4Wort,158410,180250,@158410 Apologies for the unpleasant experience. Kindly share your details here: https://t.co/GIJyeY99fq and I'll contact you. ^GS,Refund/Return,Shipping,auto-handle,,,True
2285488,Absolutely disgusted at the service by Amazon. I'm a prime member and have had 9 lately deliveries this month and one damaged item. And no help what so ever from customer service. You've just lost a customer for life @115830,664138,2285486,"@664138 I'm sorry for the multiple delivery issues. Did you notice a pattern with the same carrier or was it various carriers? When you contacted us, what did we advise? ^MG",Account/Billing,Shipping,escalate,,,True
840472,@AmazonHelp Thanks for reply. How long will it take? Why the delay? And can I get a refund?,319985,840473,"@319985 We don't have an ETA on this, nor can we speculate on any aspect of it. The account team will be in touch with you. ^RL",Refund/Return,Refund/Return,auto-handle,,,True
861814,@115850  बहुत ही घटिया सर्विस है आपकी। 10 दिनों हो गए प्रोडक्ट return pickup के लिए कोई नही आया। मैने कई बार compalaint भी किया।,324639,861813,"@324639 Sorry for the delay.. We'd like to know what went wrong, please drop in the details here: https://t.co/GIJyeYqKE0 ^MS",Refund/Return,Refund/Return,escalate,,,True
2544878,@310672 @118706 @115821 Same exact thing happened to me yesterday,803939,2902608,"@803939 I'm so sorry to hear your package did not arrive! Did you have a chance to speak with us about this?
^AV",Product/Device,General Support,auto-handle,,,True
198704,"@AmazonHelp I just have axis card and the product isn't eligible for COD. I need the product URGENTLY. 
Don't show me options. Return prime money",162750,198706,@162750 We'll get this checked. Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^HD,Account/Billing,Account/Billing,escalate,,,True
1890597,@AmazonHelp Trying to reach customer care but it fails always,563808,1890599,"@563808 Please click on the link and follow the path: login or skip sign in &gt; Choose an option &gt; Choose Reason &gt; Choose Issue &gt; Choose the mode of contact phone, e-mail or chat. ^JS",General Support,General Support,escalate,,,True
1606349,@AmazonHelp So what happens to my subscription when Lovefilm DVD ends as I thought my charge was split in two one for streaming the other for DVD,493464,1606350,"@493464 LOVEFiLM allows you to rent DVDs/Blu-rays, &amp; Amazon Video allows you to stream digitally. The subscriptions are separate. ^WJ",Account/Billing,Account/Billing,auto-handle,,,True
1873884,@AmazonHelp just action all my previous requests for you to actually unlock the account.,559457,1873889,@559457 Apologizes for the delay in response Matthew- We have received your details and will be in touch directly. ^NV,Account/Billing,Account/Billing,escalate,,,True
1821608,@115850 my order has places successfully and cancelled today automatically @118702 is this same with you guys also?,326546,1821607,@326546 reason for cancellation. Request you to check the same. 2/2 ^SH,Refund/Return,Refund/Return,auto-handle,,,True
1711443,"@121649 @115850 @119625 @AmazonHelp Not reflecting till now, they say 1 to 4 working day are required. 
But I don't think. Just making fools. # Amazon #AmazonEcho",306200,1711442,@306200 Apologies. Could you please confirm if you've reported this to our support team here: https://t.co/MdMcyoRBDR? ^SM,Product/Device,Refund/Return,escalate,,,True
665499,@115850 Scam mkin company #amazonin #jeffbezo for a refund you need my bank statement on mail. Dosent amazon has a system to track his own payments? https://t.co/Z3y726yyni,397060,1178039,@397060 We've responded to your tweet here: https://t.co/jca6RwQjKg. Please refer to the link. ^NR,Refund/Return,Refund/Return,escalate,,,True
2483975,"@AmazonHelp Bonjour, je l'ai fait, mais la conseillère m'a dit qu'elle porterait réclamation auprès de BPOST pour une livraison en ce jour, ce dont je doute cependant. Ce que je déplore, c'est le fait que @14272 ne sache réellement me dire ce qu'il en est, ni ne remplisse son engagement.",709640,2483977,"@709640 Une remontée a û donc être faite auprès du transporteur. Je vous invite à patienter, en cas de non livraison vous pouvez relancer le SAV afin vérifier cela auprès du transporteur. 
Sachez que vos remontées nous aident à améliorer nos services.
^ARC",General Support,Shipping,escalate,,,True
2613325,"@AmazonHelp Un geste commercial serait également le bienvenue... Parce que bon, ce n'est pas la première fois que ça arrive ce genre de problèmes.",738810,2613326,"@738810 Je vous prie dans ce cas-là  de le signaler à notre SAV via: https://t.co/hgIrz98cdI qui vous proposera les solutions les plus adéquates.
^KE",Shipping,Refund/Return,escalate,,,True
156714,@AmazonHelp Hi. This has turned out to be a total fail on the part of Amazon. I'm flying out tomorrow morning and I was taking this as gift with me. How on earth am I going to give this to a very good friend who's just had a baby? There's no time to replace this. I need a full refund.,151991,156713,@151991 Please reach us directly using the link ^MG provided. ^NC,Refund/Return,Refund/Return,auto-handle,,,True
581890,"@AmazonHelp Refund is received 259 .
Item purchase price 285
Order cancel by mistake of your. 
&amp; You deducted 25. 
What's my fault?",257149,581891,"@257149 That's unusual, Mayur. Certainly not the kind of experience we'd want you to have. We'd like to have a closer look at this. Kindly drop in your details here: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^NK",Refund/Return,Refund/Return,escalate,,,True
2542930,J’adore quand un transporteur t’avoue qu’il ne faut pas ce fier au numéro de suivi car les machines scannent les non-colis. #ColisPerdu. Merci @4238 coucou @AmazonHelp,354934,2542928,"@354934 Bonjour, je suis sincèrement désolée d'apprendre cela. Rencontrez-vous un souci avec une livraison en cours s'il vous plaît? ^FA",General Support,Shipping,auto-handle,,,True
1296280,Why the fuck am I paying for a prime membership and my items aren’t coming in the 2 days they’re “allegedly” coming?!? @115821 @AmazonHelp https://t.co/HH30GRTbkB,422985,1296279,@422985 I'm sorry for the delay! Please let us know if your order doesn't arrive by tomorrow. ^EZ,Account/Billing,Shipping,escalate,,,True
907051,@AmazonHelp I have a collection of the blue cold packs from various PrimeNow orders. Can we send them back? #reuse #reduce,335370,907050,"@335370 I'm sorry, we currently don't have a way to take these back. Please click here for more details: https://t.co/nvpLEfi7Rx ^JR",Account/Billing,Refund/Return,auto-handle,,,True
511635,Worst customer experience ever! Been told every day for last 4 days that my parcel will arrive tomorrow but nothing! Where is the customer obsession? @AmazonHelp,237626,511633,@237626 We appreciate you reaching out to us on Twitter. What does the most recent tracking information for your order state here: https://t.co/ijxJ9jCwr9? ^GG,Shipping,Shipping,escalate,,,True
2371370,@AmazonHelp Is it normal for refunds to take a while to process? How long should I wait until I reach out again?,684236,2371371,"@684236 In most cases, once a refund has been submitted, the issuing bank will post it to your account within 3-5 (for pin-less debit cards it's 10) business days. This time frame may vary from one financial institution to another. Hope this helps! ^NN",Refund/Return,Refund/Return,auto-handle,,,True
1035483,Thank you @115821 for charging me prime when I clicked “no thank you”. Now my account is over drafted and my baby has no wipes 👏🏼,364931,1035481,@364931 Oh no! We'd like to go over available options with you. Please reach us via phone/chat here: https://t.co/hApLpMlfHN ^KP,Account/Billing,Account/Billing,escalate,,,True
2609136,@115821 So if I cancelled a subscription.. Why is the auto renew still on? I feel bamboozled Amazon. 🤔🤔🤔,490678,2624495,@490678 We'd like to help out! Were you charged for your subscription after you canceled it? ^AR,Account/Billing,Account/Billing,auto-handle,,,True
2531741,@116316 your prime service is a prime example of a good model gone bad#alwayslate#neverreliable#ineffectivecustomerservice,132433,2531740,@132433 What happened? Is there anything we can help you with? ^AN,Account/Billing,General Support,escalate,,,True
1776426,@AmazonHelp Are we able to opt out of this and have our packages deliver by @118706 @81 and @115817 instead??,533818,1776428,"@533818 Currently, there isn't a way to opt out from selected carriers. We appreciate your feedback. ^SJ",Shipping,Shipping,auto-handle,,,True
485313,"Drivers getting lost, can’t cope with numbers, needs redirecting and today’s excuse is ? @115821 @122232",230466,485311,@230466 Oh no! Could you tell us more about what's going on? Has your parcel missed the delivery date given in the confirmation e-mail? Let us know! ^MT,General Support,Shipping,escalate,,,True
2874110,@AmazonHelp The issue was the support team was not helpful. Two persons said the money was received and the status would get resolved. Another said the money wasn't received. Upon cancellation of the order I got a message from Amazon that my payment would be refunded. Frustrating,797915,2874112,"@797915 I'm sorry, please fill this form: https://t.co/beaaDlIL5C and we'll get back to you soon. ^SI",Refund/Return,Refund/Return,escalate,,,True
2630074,"@115830 Has the most pathetic and worst support department I have ever had the unpleasure of dealing with! A simple question met with copy and paste replies that have 0 relevance to my question. You should be ashamed of yourselves!!
Customer service ha, customer stress!",742726,2630071,"@742726 We always expect pleasant experiences when you contact us, Matthew! I'm sorry to hear of any trouble. Will you tell us more about how we can help? Please don't include any personal or account specific information. ^CS",General Support,General Support,escalate,,,True
1135899,@AmazonHelp  https://t.co/KeI66e8Ww4,387607,1135897,"@387607 Hi, when did you get charged? Was it on a different Amazon account by any chance? ^AS",General Support,General Support,escalate,,,True
725221,@115850 fucking hell services..complaint against my refund but no action taken still..absolutely worst,293715,725219,"@293715 As informed previously, kindly connect with your bank and file a charge dispute. Appreciate your understanding. ^SG",Refund/Return,Refund/Return,escalate,,,True
2472391,@116313 家に届いたらしい♪（未確認）,707034,2472390,"@707034 Amazonでお買い求めいただき、ありがとうございました！（ぜひご確認を・・・）
(Amazon Music Unlimitedではカバーできていなかったようですが、たくさんの曲を提供できるよう、これからも務めてまいります。)O o｡.(´-`*) RI",General Support,Shipping,auto-handle,,,True
442884,@AmazonHelp Thank you so much for refund. I wish it would have been little early... Amazon rocks but please Ban such products and sellers from selling on Amazon which may spoil buying experience and Amazon's business...,219975,442885,"@219975 Thanks a bunch for keeping us posted. Further, I'll ensure to share your comments internally to work on and improvise. ^CB",Refund/Return,Refund/Return,escalate,,,True
1883370,@AmazonHelp Can I switch my account to Japan? Or do I need to create a new account?,562035,1883371,@562035 You can sign in to Amazon.jp with the same email address and password.^CD,Account/Billing,Account/Billing,auto-handle,,,True
2307380,@AmazonHelp All I need is for someone to activate the subscription. They are like reinstall the app.,669356,2307378,"@669356 You're right, that certainly is frustrating. To confirm, do you have your STARZ subscription through Amazon Channels or through your cable provider? Also, what device (or devices) are you using? ^AM",Account/Billing,Account/Billing,auto-handle,,,True
337392,@AmazonHelp Couldn’t find my address. Even though I’ve had packages sent all week through next day and same day prime,196511,337393,@196511 I'm sorry for this issue with your delivery. Please let us look into this with you:  https://t.co/JzP7hlA23B ^DO,Shipping,Shipping,auto-handle,,,True
800337,"@AmazonHelp @115850 Please look after it , this sends a wrong message to customer.",310704,801641,"@310704 I understand your concern, I've noted your comments and have forwarded your feedback internally. ^BA",General Support,General Support,escalate,,,True
142951,"ja comprei 100 reais em livros
@115821 te amo",148269,142950,"@148269 Opaa! Presente de natal adiantado, heim! 😍🎄. ^MB",General Support,Account/Billing,auto-handle,,,True
